Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2017,1,4,08:00,UTC,,1009.1,81,,,-13.4,-15.9,,,,
2017,1,4,09:00,UTC,,1010.8,80,,,-14.2,-16.9,,,,
2017,1,4,10:00,UTC,,1012.2,81,,,-14.4,-17,,,,
2017,1,4,11:00,UTC,,1013.4,79,,,-14.6,-17.4,,,,
2017,1,4,12:00,UTC,,1014.9,79,,,-14.8,-17.7,,,,
2017,1,4,13:00,UTC,,1015.8,79,,,-15.3,-18.1,,,,
2017,1,4,14:00,UTC,,1017.2,77,,,-15.7,-18.7,,,,
2017,1,4,15:00,UTC,,1018.6,74,,,-16,-19.6,,,,
2017,1,4,16:00,UTC,,1019.7,74,,,-15.5,-19,,,,
2017,1,4,17:00,UTC,,1020.9,74,,,-15.3,-18.9,,,,
2017,1,4,18:00,UTC,,1021.3,75,,,-14.9,-18.4,,,,
2017,1,4,19:00,UTC,,1022,73,,,-15,-18.7,,,,
2017,1,4,20:00,UTC,,1023.1,70,,,-15,-19.3,,,,
2017,1,4,21:00,UTC,,1024.1,71,,,-14.9,-19,,,,
2017,1,4,22:00,UTC,,1024.9,74,,,-15.2,-18.8,,,,
2017,1,4,23:00,UTC,,1025.6,71,,,-14.2,-18.3,,,,
2017,1,5,00:00,UTC,,1026.5,71,,,-14.3,-18.3,,,,
2017,1,5,01:00,UTC,,1027.1,68,,,-14.3,-18.9,,,,
2017,1,5,02:00,UTC,,1027.8,69,,,-14.4,-18.9,,,,
2017,1,5,03:00,UTC,,1028.7,71,,,-14.2,-18.3,,,,
2017,1,5,04:00,UTC,,1029.3,70,,,-14.2,-18.5,,,,
2017,1,5,05:00,UTC,,1029.9,71,,,-13.3,-17.4,,,,
2017,1,5,06:00,UTC,,1030.4,77,,,-13.3,-16.5,,,,
2017,1,5,07:00,UTC,,1031.2,77,,,-13.7,-16.8,,,,
2017,1,5,08:00,UTC,,1032.2,79,,,-13.4,-16.4,,,,
2017,1,5,09:00,UTC,,1032.7,78,,,-13.9,-16.8,,,,
2017,1,5,10:00,UTC,,1033,78,,,-14.3,-17.2,,,,
2017,1,5,11:00,UTC,,1033,78,,,-12.8,-15.9,,,,
2017,1,5,12:00,UTC,,1033.6,82,,,-10.7,-13.2,,,,
2017,1,5,13:00,UTC,,1033.8,83,,,-11.2,-13.5,,,,
2017,1,5,14:00,UTC,,1034.5,84,,,-11.4,-13.5,,,,
2017,1,5,15:00,UTC,,1034.7,80,,,-11.6,-14.3,,,,
2017,1,5,16:00,UTC,,1034.9,78,,,-11.7,-14.8,,,,
2017,1,5,17:00,UTC,,1035,83,,,-13.6,-15.9,,,,
2017,1,5,18:00,UTC,,1035.2,85,,,-14.1,-16.1,,,,
2017,1,5,19:00,UTC,,1035.1,86,,,-14.8,-16.6,,,,
2017,1,5,20:00,UTC,,1035.6,87,,,-15.3,-17.1,,,,
2017,1,5,21:00,UTC,,1035.9,85,,,-15.4,-17.3,,,,
2017,1,5,22:00,UTC,,1035.6,86,,,-13.9,-15.8,,,,
2017,1,5,23:00,UTC,,1035.5,86,,,-12.9,-14.8,,,,
2017,1,6,00:00,UTC,,1035.3,84,,,-12.7,-14.9,,,,
2017,1,6,01:00,UTC,,1035.2,83,,,-11.8,-14.1,,,,
2017,1,6,02:00,UTC,,1034.8,84,,,-11.5,-13.6,,,,
2017,1,6,03:00,UTC,,1034.3,85,,,-11.9,-13.9,,,,
2017,1,6,04:00,UTC,,1033.9,86,,,-11.4,-13.3,,,,
2017,1,6,05:00,UTC,,1033.3,86,,,-11.5,-13.4,,,,
2017,1,6,06:00,UTC,,1033,84,,,-11.9,-14,,,,
2017,1,6,07:00,UTC,,1032.5,85,,,-11.8,-13.8,,,,
2017,1,6,08:00,UTC,,1032.4,85,,,-11.4,-13.5,,,,
2017,1,6,09:00,UTC,,1031.9,85,,,-10.9,-12.9,,,,
2017,1,6,10:00,UTC,,1031.1,84,,,-10.3,-12.5,,,,
2017,1,6,11:00,UTC,,1030.1,84,,,-9.6,-11.7,,,,
2017,1,6,12:00,UTC,,1028.8,85,,,-8.9,-10.8,,,,
2017,1,6,13:00,UTC,,1027.9,87,,,-8.5,-10.3,,,,
2017,1,6,14:00,UTC,,1026.5,87,,,-7.9,-9.6,,,,
2017,1,6,15:00,UTC,,1025.5,87,,,-6.7,-8.5,,,,
2017,1,6,16:00,UTC,,1024.6,84,,,-4.8,-7.1,,,,
2017,1,6,17:00,UTC,,1023.2,80,,,-2.7,-5.7,,,,
2017,1,6,18:00,UTC,,1021.5,80,,,-2.2,-5.2,,,,
2017,1,6,19:00,UTC,,1020.3,81,,,-2,-4.8,,,,
2017,1,6,20:00,UTC,,1018.5,86,,,-1.5,-3.6,,,,
2017,1,6,21:00,UTC,,1016.9,84,,,-1.1,-3.4,,,,
2017,1,6,22:00,UTC,,1015.5,82,,,-1.2,-3.8,,,,
2017,1,6,23:00,UTC,,1014.3,87,,,-1.2,-3.1,,,,
2017,1,7,00:00,UTC,,1013,93,,,-1.4,-2.4,,,,
2017,1,7,01:00,UTC,,1011.7,95,,,-1.4,-2.1,,,,
2017,1,7,02:00,UTC,,1011.1,95,,,-1.2,-1.9,,,,
2017,1,7,03:00,UTC,,1010.5,96,,,-1,-1.6,,,,
2017,1,7,04:00,UTC,,1010.4,96,,,-0.7,-1.2,,,,
2017,1,7,05:00,UTC,,1010.1,95,,,-0.2,-0.9,,,,
2017,1,7,06:00,UTC,,1010.2,93,,,0.2,-0.9,,,,
2017,1,7,07:00,UTC,,1010.7,92,,,-1,-2,,,,
2017,1,7,08:00,UTC,,1010.9,88,,,-0.6,-2.3,,,,
2017,1,7,09:00,UTC,,1011.1,86,,,-0.2,-2.3,,,,
2017,1,7,10:00,UTC,,1011.7,87,,,-0.3,-2.3,,,,
2017,1,7,11:00,UTC,,1012.5,84,,,-0.1,-2.6,,,,
2017,1,7,12:00,UTC,,1012.7,84,,,0,-2.4,,,,
