Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2017,1,1,00:00,UTC,4,995.5,82,0,,2.5,-0.3,32919,271,12.3,11.1
2017,1,1,01:00,UTC,7,995.5,83,0,,2.3,-0.3,37654,283,11,9.8
2017,1,1,02:00,UTC,7,995.4,85,0,,2.2,-0.1,26362,290,9.5,8.7
2017,1,1,03:00,UTC,8,995.6,89,0,,1.8,0.1,17000,300,7.6,7.1
2017,1,1,04:00,UTC,8,995.7,92,0,,1.1,0,18216,331,5.3,3.7
2017,1,1,05:00,UTC,7,995.9,95,0,,0.9,0.2,10056,315,5.5,5
2017,1,1,06:00,UTC,7,996.2,97,0,,0.7,0.2,7248,331,3.5,2.8
2017,1,1,07:00,UTC,7,996.2,97,0,,0.1,-0.3,12747,70,1.8,1.4
2017,1,1,08:00,UTC,7,997,98,0,,0.2,-0.1,16571,17,3.6,2.6
2017,1,1,09:00,UTC,4,997.5,96,0,,-0.7,-1.3,22315,13,5.8,4.1
2017,1,1,10:00,UTC,7,998.3,96,0,,-1.4,-2,19504,27,6.3,3.7
2017,1,1,11:00,UTC,8,998.6,96,0,,-1.9,-2.4,27506,19,6.1,3.6
2017,1,1,12:00,UTC,7,999.4,94,0,,-1.8,-2.7,40248,14,5.8,3.5
2017,1,1,13:00,UTC,6,1000.2,94,0,,-2.4,-3.2,36447,13,3.5,2.1
2017,1,1,14:00,UTC,3,1000.9,95,0,,-2.8,-3.6,32648,359,5,3.7
2017,1,1,15:00,UTC,7,1001.3,93,0,,-2,-3,46978,352,5.2,3.9
2017,1,1,16:00,UTC,7,1001.6,94,0,,-2.4,-3.2,41631,354,4.5,3.7
2017,1,1,17:00,UTC,2,1001.8,95,0,,-3,-3.8,38483,354,3.8,3.4
2017,1,1,18:00,UTC,0,1002,96,0,,-3.4,-3.9,24128,360,2.4,1.9
2017,1,1,19:00,UTC,7,1002.2,97,0,,-2.3,-2.7,28132,290,2.9,1.9
